year,state,month,month_name,unemployment,date,region,division
2015,Minnesota,1,January,3.8,2015-01-01,Midwest,West North Central
2014,Minnesota,12,December,3.8,2014-12-01,Midwest,West North Central
2014,Minnesota,11,November,3.8,2014-11-01,Midwest,West North Central
2014,Minnesota,10,October,3.9,2014-10-01,Midwest,West North Central
2014,Minnesota,9,September,3.9,2014-09-01,Midwest,West North Central
2014,Minnesota,8,August,4,2014-08-01,Midwest,West North Central
2014,Minnesota,7,July,4,2014-07-01,Midwest,West North Central
2014,Minnesota,6,June,4.2,2014-06-01,Midwest,West North Central
2014,Minnesota,5,May,4.3,2014-05-01,Midwest,West North Central
2014,Minnesota,4,April,4.4,2014-04-01,Midwest,West North Central
2014,Minnesota,3,March,4.5,2014-03-01,Midwest,West North Central
2014,Minnesota,2,February,4.6,2014-02-01,Midwest,West North Central
2014,Minnesota,1,January,4.6,2014-01-01,Midwest,West North Central
2013,Minnesota,12,December,4.7,2013-12-01,Midwest,West North Central
2013,Minnesota,11,November,4.7,2013-11-01,Midwest,West North Central
2013,Minnesota,10,October,4.7,2013-10-01,Midwest,West North Central
2013,Minnesota,9,September,4.8,2013-09-01,Midwest,West North Central
2013,Minnesota,8,August,4.9,2013-08-01,Midwest,West North Central
2013,Minnesota,7,July,4.9,2013-07-01,Midwest,West North Central
2013,Minnesota,6,June,5,2013-06-01,Midwest,West North Central
2013,Minnesota,5,May,5,2013-05-01,Midwest,West North Central
2013,Minnesota,4,April,5.1,2013-04-01,Midwest,West North Central
2013,Minnesota,3,March,5.2,2013-03-01,Midwest,West North Central
2013,Minnesota,2,February,5.2,2013-02-01,Midwest,West North Central
2013,Minnesota,1,January,5.3,2013-01-01,Midwest,West North Central
2012,Minnesota,12,December,5.4,2012-12-01,Midwest,West North Central
2012,Minnesota,11,November,5.5,2012-11-01,Midwest,West North Central
2012,Minnesota,10,October,5.5,2012-10-01,Midwest,West North Central
2012,Minnesota,9,September,5.6,2012-09-01,Midwest,West North Central
2012,Minnesota,8,August,5.6,2012-08-01,Midwest,West North Central
2012,Minnesota,7,July,5.6,2012-07-01,Midwest,West North Central
2012,Minnesota,6,June,5.6,2012-06-01,Midwest,West North Central
2012,Minnesota,5,May,5.6,2012-05-01,Midwest,West North Central
2012,Minnesota,4,April,5.7,2012-04-01,Midwest,West North Central
2012,Minnesota,3,March,5.7,2012-03-01,Midwest,West North Central
2012,Minnesota,2,February,5.7,2012-02-01,Midwest,West North Central
2012,Minnesota,1,January,5.8,2012-01-01,Midwest,West North Central
2011,Minnesota,12,December,5.9,2011-12-01,Midwest,West North Central
2011,Minnesota,11,November,6,2011-11-01,Midwest,West North Central
2011,Minnesota,10,October,6.1,2011-10-01,Midwest,West North Central
2011,Minnesota,9,September,6.3,2011-09-01,Midwest,West North Central
2011,Minnesota,8,August,6.5,2011-08-01,Midwest,West North Central
2011,Minnesota,7,July,6.6,2011-07-01,Midwest,West North Central
2011,Minnesota,6,June,6.7,2011-06-01,Midwest,West North Central
2011,Minnesota,5,May,6.7,2011-05-01,Midwest,West North Central
2011,Minnesota,4,April,6.7,2011-04-01,Midwest,West North Central
2011,Minnesota,3,March,6.7,2011-03-01,Midwest,West North Central
2011,Minnesota,2,February,6.8,2011-02-01,Midwest,West North Central
2011,Minnesota,1,January,6.9,2011-01-01,Midwest,West North Central
2010,Minnesota,12,December,7.1,2010-12-01,Midwest,West North Central
2010,Minnesota,11,November,7.2,2010-11-01,Midwest,West North Central
2010,Minnesota,10,October,7.3,2010-10-01,Midwest,West North Central
2010,Minnesota,9,September,7.3,2010-09-01,Midwest,West North Central
2010,Minnesota,8,August,7.3,2010-08-01,Midwest,West North Central
2010,Minnesota,7,July,7.3,2010-07-01,Midwest,West North Central
2010,Minnesota,6,June,7.3,2010-06-01,Midwest,West North Central
2010,Minnesota,5,May,7.4,2010-05-01,Midwest,West North Central
2010,Minnesota,4,April,7.5,2010-04-01,Midwest,West North Central
2010,Minnesota,3,March,7.6,2010-03-01,Midwest,West North Central
2010,Minnesota,2,February,7.7,2010-02-01,Midwest,West North Central
2010,Minnesota,1,January,7.7,2010-01-01,Midwest,West North Central
2009,Minnesota,12,December,7.7,2009-12-01,Midwest,West North Central
2009,Minnesota,11,November,7.8,2009-11-01,Midwest,West North Central
2009,Minnesota,10,October,7.8,2009-10-01,Midwest,West North Central
2009,Minnesota,9,September,7.9,2009-09-01,Midwest,West North Central
2009,Minnesota,8,August,8,2009-08-01,Midwest,West North Central
2009,Minnesota,7,July,8,2009-07-01,Midwest,West North Central
2009,Minnesota,6,June,8,2009-06-01,Midwest,West North Central
2009,Minnesota,5,May,8,2009-05-01,Midwest,West North Central
2009,Minnesota,4,April,7.9,2009-04-01,Midwest,West North Central
2009,Minnesota,3,March,7.7,2009-03-01,Midwest,West North Central
2009,Minnesota,2,February,7.4,2009-02-01,Midwest,West North Central
2009,Minnesota,1,January,7,2009-01-01,Midwest,West North Central
2008,Minnesota,12,December,6.7,2008-12-01,Midwest,West North Central
2008,Minnesota,11,November,6.3,2008-11-01,Midwest,West North Central
2008,Minnesota,10,October,6,2008-10-01,Midwest,West North Central
2008,Minnesota,9,September,5.8,2008-09-01,Midwest,West North Central
2008,Minnesota,8,August,5.6,2008-08-01,Midwest,West North Central
2008,Minnesota,7,July,5.4,2008-07-01,Midwest,West North Central
2008,Minnesota,6,June,5.3,2008-06-01,Midwest,West North Central
2008,Minnesota,5,May,5.1,2008-05-01,Midwest,West North Central
2008,Minnesota,4,April,4.9,2008-04-01,Midwest,West North Central
2008,Minnesota,3,March,4.8,2008-03-01,Midwest,West North Central
2008,Minnesota,2,February,4.7,2008-02-01,Midwest,West North Central
2008,Minnesota,1,January,4.7,2008-01-01,Midwest,West North Central
2007,Minnesota,12,December,4.7,2007-12-01,Midwest,West North Central
2007,Minnesota,11,November,4.7,2007-11-01,Midwest,West North Central
2007,Minnesota,10,October,4.7,2007-10-01,Midwest,West North Central
2007,Minnesota,9,September,4.7,2007-09-01,Midwest,West North Central
2007,Minnesota,8,August,4.6,2007-08-01,Midwest,West North Central
2007,Minnesota,7,July,4.6,2007-07-01,Midwest,West North Central
2007,Minnesota,6,June,4.5,2007-06-01,Midwest,West North Central
2007,Minnesota,5,May,4.5,2007-05-01,Midwest,West North Central
2007,Minnesota,4,April,4.5,2007-04-01,Midwest,West North Central
2007,Minnesota,3,March,4.4,2007-03-01,Midwest,West North Central
2007,Minnesota,2,February,4.4,2007-02-01,Midwest,West North Central
2007,Minnesota,1,January,4.3,2007-01-01,Midwest,West North Central
2006,Minnesota,12,December,4.3,2006-12-01,Midwest,West North Central
2006,Minnesota,11,November,4.2,2006-11-01,Midwest,West North Central
2006,Minnesota,10,October,4.1,2006-10-01,Midwest,West North Central
2006,Minnesota,9,September,4,2006-09-01,Midwest,West North Central
2006,Minnesota,8,August,3.9,2006-08-01,Midwest,West North Central
2006,Minnesota,7,July,3.8,2006-07-01,Midwest,West North Central
2006,Minnesota,6,June,3.8,2006-06-01,Midwest,West North Central
2006,Minnesota,5,May,3.8,2006-05-01,Midwest,West North Central
2006,Minnesota,4,April,3.9,2006-04-01,Midwest,West North Central
2006,Minnesota,3,March,4,2006-03-01,Midwest,West North Central
2006,Minnesota,2,February,4,2006-02-01,Midwest,West North Central
2006,Minnesota,1,January,4.1,2006-01-01,Midwest,West North Central
2016,Mississippi,12,December,5.5,2016-12-01,South,East South Central
2016,Mississippi,11,November,5.6,2016-11-01,South,East South Central
2016,Mississippi,10,October,5.6,2016-10-01,South,East South Central
2016,Mississippi,9,September,5.7,2016-09-01,South,East South Central
2016,Mississippi,8,August,5.8,2016-08-01,South,East South Central
2016,Mississippi,7,July,5.8,2016-07-01,South,East South Central
2016,Mississippi,6,June,5.9,2016-06-01,South,East South Central
2016,Mississippi,5,May,5.9,2016-05-01,South,East South Central
2016,Mississippi,4,April,6,2016-04-01,South,East South Central
2016,Mississippi,3,March,6,2016-03-01,South,East South Central
2016,Mississippi,2,February,6.1,2016-02-01,South,East South Central
2016,Mississippi,1,January,6.2,2016-01-01,South,East South Central
2015,Mississippi,12,December,6.2,2015-12-01,South,East South Central
2015,Mississippi,11,November,6.2,2015-11-01,South,East South Central
2015,Mississippi,10,October,6.2,2015-10-01,South,East South Central
2015,Mississippi,9,September,6.2,2015-09-01,South,East South Central
2015,Mississippi,8,August,6.3,2015-08-01,South,East South Central
2015,Mississippi,7,July,6.3,2015-07-01,South,East South Central
2015,Mississippi,6,June,6.4,2015-06-01,South,East South Central
2015,Mississippi,5,May,6.5,2015-05-01,South,East South Central
2015,Mississippi,4,April,6.5,2015-04-01,South,East South Central
2015,Mississippi,3,March,6.6,2015-03-01,South,East South Central
2015,Mississippi,2,February,6.7,2015-02-01,South,East South Central
2015,Mississippi,1,January,6.7,2015-01-01,South,East South Central
2014,Mississippi,12,December,6.8,2014-12-01,South,East South Central
2014,Mississippi,11,November,7,2014-11-01,South,East South Central
2014,Mississippi,10,October,7.1,2014-10-01,South,East South Central
2014,Mississippi,9,September,7.2,2014-09-01,South,East South Central
2014,Mississippi,8,August,7.4,2014-08-01,South,East South Central
2014,Mississippi,7,July,7.5,2014-07-01,South,East South Central
2014,Mississippi,6,June,7.6,2014-06-01,South,East South Central
2014,Mississippi,5,May,7.7,2014-05-01,South,East South Central
2014,Mississippi,4,April,7.8,2014-04-01,South,East South Central
2014,Mississippi,3,March,7.9,2014-03-01,South,East South Central
2014,Mississippi,2,February,8,2014-02-01,South,East South Central
2014,Mississippi,1,January,8,2014-01-01,South,East South Central
2013,Mississippi,12,December,8.1,2013-12-01,South,East South Central
2013,Mississippi,11,November,8.1,2013-11-01,South,East South Central
2013,Mississippi,10,October,8.2,2013-10-01,South,East South Central
2013,Mississippi,9,September,8.3,2013-09-01,South,East South Central
2013,Mississippi,8,August,8.4,2013-08-01,South,East South Central
2013,Mississippi,7,July,8.5,2013-07-01,South,East South Central
2013,Mississippi,6,June,8.6,2013-06-01,South,East South Central
2013,Mississippi,5,May,8.7,2013-05-01,South,East South Central
2013,Mississippi,4,April,8.8,2013-04-01,South,East South Central
2013,Mississippi,3,March,8.9,2013-03-01,South,East South Central
2013,Mississippi,2,February,8.9,2013-02-01,South,East South Central
2013,Mississippi,1,January,8.9,2013-01-01,South,East South Central
2012,Mississippi,12,December,8.9,2012-12-01,South,East South Central
2012,Mississippi,11,November,8.9,2012-11-01,South,East South Central
2012,Mississippi,10,October,8.9,2012-10-01,South,East South Central
2012,Mississippi,9,September,9,2012-09-01,South,East South Central
2012,Mississippi,8,August,9,2012-08-01,South,East South Central
2012,Mississippi,7,July,9.1,2012-07-01,South,East South Central
2012,Mississippi,6,June,9,2012-06-01,South,East South Central
2012,Mississippi,5,May,9,2012-05-01,South,East South Central
2012,Mississippi,4,April,8.9,2012-04-01,South,East South Central
2012,Mississippi,3,March,9,2012-03-01,South,East South Central
2012,Mississippi,2,February,9.1,2012-02-01,South,East South Central
2012,Mississippi,1,January,9.2,2012-01-01,South,East South Central
2011,Mississippi,12,December,9.4,2011-12-01,South,East South Central
2011,Mississippi,11,November,9.7,2011-11-01,South,East South Central
2011,Mississippi,10,October,9.8,2011-10-01,South,East South Central
2011,Mississippi,9,September,10,2011-09-01,South,East South Central
2011,Mississippi,8,August,10.1,2011-08-01,South,East South Central
2011,Mississippi,7,July,10.1,2011-07-01,South,East South Central
2011,Mississippi,6,June,10.2,2011-06-01,South,East South Central
2011,Mississippi,5,May,10.1,2011-05-01,South,East South Central
2011,Mississippi,4,April,10.1,2011-04-01,South,East South Central
2011,Mississippi,3,March,10.1,2011-03-01,South,East South Central
2011,Mississippi,2,February,10.1,2011-02-01,South,East South Central
2011,Mississippi,1,January,10.1,2011-01-01,South,East South Central
2010,Mississippi,12,December,10.1,2010-12-01,South,East South Central
2010,Mississippi,11,November,10.1,2010-11-01,South,East South Central
2010,Mississippi,10,October,10.1,2010-10-01,South,East South Central
2010,Mississippi,9,September,10,2010-09-01,South,East South Central
2010,Mississippi,8,August,10,2010-08-01,South,East South Central
2010,Mississippi,7,July,10,2010-07-01,South,East South Central
2010,Mississippi,6,June,10.2,2010-06-01,South,East South Central
2010,Mississippi,5,May,10.6,2010-05-01,South,East South Central
2010,Mississippi,4,April,10.7,2010-04-01,South,East South Central
2010,Mississippi,3,March,10.8,2010-03-01,South,East South Central
2010,Mississippi,2,February,10.9,2010-02-01,South,East South Central
2010,Mississippi,1,January,10.8,2010-01-01,South,East South Central
2009,Mississippi,12,December,10.7,2009-12-01,South,East South Central
2009,Mississippi,11,November,10.5,2009-11-01,South,East South Central
2009,Mississippi,10,October,10.2,2009-10-01,South,East South Central
2009,Mississippi,9,September,9.9,2009-09-01,South,East South Central
2009,Mississippi,8,August,9.7,2009-08-01,South,East South Central
2009,Mississippi,7,July,9.5,2009-07-01,South,East South Central
2009,Mississippi,6,June,9.4,2009-06-01,South,East South Central
2009,Mississippi,5,May,9.3,2009-05-01,South,East South Central
2009,Mississippi,4,April,9.1,2009-04-01,South,East South Central
2009,Mississippi,3,March,8.9,2009-03-01,South,East South Central
2009,Mississippi,2,February,8.5,2009-02-01,South,East South Central
2009,Mississippi,1,January,8,2009-01-01,South,East South Central
2008,Mississippi,12,December,7.6,2008-12-01,South,East South Central
2008,Mississippi,11,November,7.3,2008-11-01,South,East South Central
2008,Mississippi,10,October,7.1,2008-10-01,South,East South Central
2008,Mississippi,9,September,7,2008-09-01,South,East South Central
2008,Mississippi,8,August,6.9,2008-08-01,South,East South Central
2008,Mississippi,7,July,6.8,2008-07-01,South,East South Central
2008,Mississippi,6,June,6.6,2008-06-01,South,East South Central
2008,Mississippi,5,May,6.3,2008-05-01,South,East South Central
2008,Mississippi,4,April,6.1,2008-04-01,South,East South Central
2008,Mississippi,3,March,5.9,2008-03-01,South,East South Central
2008,Mississippi,2,February,5.8,2008-02-01,South,East South Central
2008,Mississippi,1,January,5.8,2008-01-01,South,East South Central
2007,Mississippi,12,December,5.8,2007-12-01,South,East South Central
2007,Mississippi,11,November,5.9,2007-11-01,South,East South Central
2007,Mississippi,10,October,5.9,2007-10-01,South,East South Central
2007,Mississippi,9,September,6,2007-09-01,South,East South Central
2007,Mississippi,8,August,6,2007-08-01,South,East South Central
2007,Mississippi,7,July,6.1,2007-07-01,South,East South Central
2007,Mississippi,6,June,6.1,2007-06-01,South,East South Central
2007,Mississippi,5,May,6.2,2007-05-01,South,East South Central
2007,Mississippi,4,April,6.2,2007-04-01,South,East South Central
2007,Mississippi,3,March,6.3,2007-03-01,South,East South Central
2007,Mississippi,2,February,6.3,2007-02-01,South,East South Central
2007,Mississippi,1,January,6.3,2007-01-01,South,East South Central
2006,Mississippi,12,December,6.3,2006-12-01,South,East South Central
2006,Mississippi,11,November,6.3,2006-11-01,South,East South Central
2006,Mississippi,10,October,6.3,2006-10-01,South,East South Central
2006,Mississippi,9,September,6.3,2006-09-01,South,East South Central
2006,Mississippi,8,August,6.4,2006-08-01,South,East South Central
2006,Mississippi,7,July,6.4,2006-07-01,South,East South Central
2006,Mississippi,6,June,6.4,2006-06-01,South,East South Central
2006,Mississippi,5,May,6.5,2006-05-01,South,East South Central
2006,Mississippi,4,April,6.6,2006-04-01,South,East South Central
2006,Mississippi,3,March,6.7,2006-03-01,South,East South Central
2006,Mississippi,2,February,7.1,2006-02-01,South,East South Central
2006,Mississippi,1,January,7.4,2006-01-01,South,East South Central
2016,Missouri,12,December,4.3,2016-12-01,Midwest,West North Central
2016,Missouri,11,November,4.5,2016-11-01,Midwest,West North Central
2016,Missouri,10,October,4.7,2016-10-01,Midwest,West North Central
2016,Missouri,9,September,4.8,2016-09-01,Midwest,West North Central
2016,Missouri,8,August,4.8,2016-08-01,Midwest,West North Central
2016,Missouri,7,July,4.8,2016-07-01,Midwest,West North Central
2016,Missouri,6,June,4.7,2016-06-01,Midwest,West North Central
2016,Missouri,5,May,4.6,2016-05-01,Midwest,West North Central
2016,Missouri,4,April,4.5,2016-04-01,Midwest,West North Central
2016,Missouri,3,March,4.4,2016-03-01,Midwest,West North Central
2016,Missouri,2,February,4.4,2016-02-01,Midwest,West North Central
2016,Missouri,1,January,4.4,2016-01-01,Midwest,West North Central
2015,Missouri,12,December,4.4,2015-12-01,Midwest,West North Central
2015,Missouri,11,November,4.5,2015-11-01,Midwest,West North Central
2015,Missouri,10,October,4.5,2015-10-01,Midwest,West North Central
2015,Missouri,9,September,4.6,2015-09-01,Midwest,West North Central
2015,Missouri,8,August,4.7,2015-08-01,Midwest,West North Central
2015,Missouri,7,July,4.9,2015-07-01,Midwest,West North Central
2015,Missouri,6,June,5.1,2015-06-01,Midwest,West North Central
2015,Missouri,5,May,5.3,2015-05-01,Midwest,West North Central
2015,Missouri,4,April,5.4,2015-04-01,Midwest,West North Central
2015,Missouri,3,March,5.5,2015-03-01,Midwest,West North Central
2015,Missouri,2,February,5.5,2015-02-01,Midwest,West North Central
2015,Missouri,1,January,5.5,2015-01-01,Midwest,West North Central
2014,Missouri,12,December,5.6,2014-12-01,Midwest,West North Central
2014,Missouri,11,November,5.6,2014-11-01,Midwest,West North Central
2014,Missouri,10,October,5.7,2014-10-01,Midwest,West North Central
2014,Missouri,9,September,5.8,2014-09-01,Midwest,West North Central
2014,Missouri,8,August,5.9,2014-08-01,Midwest,West North Central
2014,Missouri,7,July,6,2014-07-01,Midwest,West North Central
2014,Missouri,6,June,6.2,2014-06-01,Midwest,West North Central
2014,Missouri,5,May,6.3,2014-05-01,Midwest,West North Central
2014,Missouri,4,April,6.5,2014-04-01,Midwest,West North Central
2014,Missouri,3,March,6.6,2014-03-01,Midwest,West North Central
2014,Missouri,2,February,6.7,2014-02-01,Midwest,West North Central
2014,Missouri,1,January,6.7,2014-01-01,Midwest,West North Central
2013,Missouri,12,December,6.6,2013-12-01,Midwest,West North Central
2013,Missouri,11,November,6.6,2013-11-01,Midwest,West North Central
2013,Missouri,10,October,6.6,2013-10-01,Midwest,West North Central
2013,Missouri,9,September,6.6,2013-09-01,Midwest,West North Central
2013,Missouri,8,August,6.7,2013-08-01,Midwest,West North Central
2013,Missouri,7,July,6.8,2013-07-01,Midwest,West North Central
2013,Missouri,6,June,6.8,2013-06-01,Midwest,West North Central
2013,Missouri,5,May,6.8,2013-05-01,Midwest,West North Central
2013,Missouri,4,April,6.8,2013-04-01,Midwest,West North Central
2013,Missouri,3,March,6.8,2013-03-01,Midwest,West North Central
2013,Missouri,2,February,6.8,2013-02-01,Midwest,West North Central
2013,Missouri,1,January,6.9,2013-01-01,Midwest,West North Central
2012,Missouri,12,December,6.9,2012-12-01,Midwest,West North Central
2012,Missouri,11,November,6.9,2012-11-01,Midwest,West North Central
2012,Missouri,10,October,6.8,2012-10-01,Midwest,West North Central
2012,Missouri,9,September,6.8,2012-09-01,Midwest,West North Central
2012,Missouri,8,August,6.8,2012-08-01,Midwest,West North Central
2012,Missouri,7,July,6.9,2012-07-01,Midwest,West North Central
2012,Missouri,6,June,6.9,2012-06-01,Midwest,West North Central
2012,Missouri,5,May,7,2012-05-01,Midwest,West North Central
2012,Missouri,4,April,7,2012-04-01,Midwest,West North Central
2012,Missouri,3,March,7.1,2012-03-01,Midwest,West North Central
2012,Missouri,2,February,7.2,2012-02-01,Midwest,West North Central
2012,Missouri,1,January,7.4,2012-01-01,Midwest,West North Central
2011,Missouri,12,December,7.6,2011-12-01,Midwest,West North Central
2011,Missouri,11,November,7.8,2011-11-01,Midwest,West North Central
2011,Missouri,10,October,8,2011-10-01,Midwest,West North Central
2011,Missouri,9,September,8.2,2011-09-01,Midwest,West North Central
2011,Missouri,8,August,8.4,2011-08-01,Midwest,West North Central
2011,Missouri,7,July,8.5,2011-07-01,Midwest,West North Central
2011,Missouri,6,June,8.6,2011-06-01,Midwest,West North Central
2011,Missouri,5,May,8.7,2011-05-01,Midwest,West North Central
2011,Missouri,4,April,8.8,2011-04-01,Midwest,West North Central
2011,Missouri,3,March,8.9,2011-03-01,Midwest,West North Central
2011,Missouri,2,February,9.1,2011-02-01,Midwest,West North Central
2011,Missouri,1,January,9.3,2011-01-01,Midwest,West North Central
2010,Missouri,12,December,9.4,2010-12-01,Midwest,West North Central
2010,Missouri,11,November,9.5,2010-11-01,Midwest,West North Central
2010,Missouri,10,October,9.5,2010-10-01,Midwest,West North Central
2010,Missouri,9,September,9.5,2010-09-01,Midwest,West North Central
2010,Missouri,8,August,9.5,2010-08-01,Midwest,West North Central
2010,Missouri,7,July,9.4,2010-07-01,Midwest,West North Central
2010,Missouri,6,June,9.5,2010-06-01,Midwest,West North Central
2010,Missouri,5,May,9.6,2010-05-01,Midwest,West North Central
2010,Missouri,4,April,9.7,2010-04-01,Midwest,West North Central
2010,Missouri,3,March,9.7,2010-03-01,Midwest,West North Central
2010,Missouri,2,February,9.8,2010-02-01,Midwest,West North Central
2010,Missouri,1,January,9.8,2010-01-01,Midwest,West North Central
2009,Missouri,12,December,9.7,2009-12-01,Midwest,West North Central
2009,Missouri,11,November,9.7,2009-11-01,Midwest,West North Central
2009,Missouri,10,October,9.7,2009-10-01,Midwest,West North Central
2009,Missouri,9,September,9.6,2009-09-01,Midwest,West North Central
2009,Missouri,8,August,9.6,2009-08-01,Midwest,West North Central
2009,Missouri,7,July,9.5,2009-07-01,Midwest,West North Central
2009,Missouri,6,June,9.4,2009-06-01,Midwest,West North Central
2009,Missouri,5,May,9.3,2009-05-01,Midwest,West North Central
2009,Missouri,4,April,9.1,2009-04-01,Midwest,West North Central
2009,Missouri,3,March,8.9,2009-03-01,Midwest,West North Central
2009,Missouri,2,February,8.5,2009-02-01,Midwest,West North Central
2009,Missouri,1,January,8.1,2009-01-01,Midwest,West North Central
2008,Missouri,12,December,7.7,2008-12-01,Midwest,West North Central
2008,Missouri,11,November,7.3,2008-11-01,Midwest,West North Central
2008,Missouri,10,October,6.9,2008-10-01,Midwest,West North Central
2008,Missouri,9,September,6.6,2008-09-01,Midwest,West North Central
2008,Missouri,8,August,6.4,2008-08-01,Midwest,West North Central
2008,Missouri,7,July,6.1,2008-07-01,Midwest,West North Central
2008,Missouri,6,June,5.9,2008-06-01,Midwest,West North Central
2008,Missouri,5,May,5.7,2008-05-01,Midwest,West North Central
2008,Missouri,4,April,5.5,2008-04-01,Midwest,West North Central
2008,Missouri,3,March,5.4,2008-03-01,Midwest,West North Central
2008,Missouri,2,February,5.3,2008-02-01,Midwest,West North Central
2008,Missouri,1,January,5.3,2008-01-01,Midwest,West North Central
2007,Missouri,12,December,5.4,2007-12-01,Midwest,West North Central
2007,Missouri,11,November,5.4,2007-11-01,Midwest,West North Central
2007,Missouri,10,October,5.4,2007-10-01,Midwest,West North Central
2007,Missouri,9,September,5.3,2007-09-01,Midwest,West North Central
2007,Missouri,8,August,5.3,2007-08-01,Midwest,West North Central
2007,Missouri,7,July,5.1,2007-07-01,Midwest,West North Central
2007,Missouri,6,June,5,2007-06-01,Midwest,West North Central
2007,Missouri,5,May,4.9,2007-05-01,Midwest,West North Central
2007,Missouri,4,April,4.8,2007-04-01,Midwest,West North Central
2007,Missouri,3,March,4.8,2007-03-01,Midwest,West North Central
2007,Missouri,2,February,4.8,2007-02-01,Midwest,West North Central
2007,Missouri,1,January,4.8,2007-01-01,Midwest,West North Central
2006,Missouri,12,December,4.9,2006-12-01,Midwest,West North Central
2006,Missouri,11,November,4.9,2006-11-01,Midwest,West North Central
2006,Missouri,10,October,4.9,2006-10-01,Midwest,West North Central
2006,Missouri,9,September,4.9,2006-09-01,Midwest,West North Central
2006,Missouri,8,August,4.9,2006-08-01,Midwest,West North Central
2006,Missouri,7,July,4.8,2006-07-01,Midwest,West North Central
2006,Missouri,6,June,4.8,2006-06-01,Midwest,West North Central
2006,Missouri,5,May,4.8,2006-05-01,Midwest,West North Central
2006,Missouri,4,April,4.8,2006-04-01,Midwest,West North Central
2006,Missouri,3,March,4.8,2006-03-01,Midwest,West North Central
2006,Missouri,2,February,4.9,2006-02-01,Midwest,West North Central
2006,Missouri,1,January,5,2006-01-01,Midwest,West North Central
2016,Montana,12,December,4,2016-12-01,West,Mountain
2016,Montana,11,November,4,2016-11-01,West,Mountain
2016,Montana,10,October,4,2016-10-01,West,Mountain
2016,Montana,9,September,4.1,2016-09-01,West,Mountain
2016,Montana,8,August,4.1,2016-08-01,West,Mountain
2016,Montana,7,July,4.2,2016-07-01,West,Mountain
2016,Montana,6,June,4.2,2016-06-01,West,Mountain
2016,Montana,5,May,4.2,2016-05-01,West,Mountain
2016,Montana,4,April,4.2,2016-04-01,West,Mountain
2016,Montana,3,March,4.2,2016-03-01,West,Mountain
2016,Montana,2,February,4.2,2016-02-01,West,Mountain
2016,Montana,1,January,4.2,2016-01-01,West,Mountain
2015,Montana,12,December,4.2,2015-12-01,West,Mountain
2015,Montana,11,November,4.2,2015-11-01,West,Mountain
2015,Montana,10,October,4.2,2015-10-01,West,Mountain
2015,Montana,9,September,4.2,2015-09-01,West,Mountain
2015,Montana,8,August,4.2,2015-08-01,West,Mountain
2015,Montana,7,July,4.2,2015-07-01,West,Mountain
2015,Montana,6,June,4.2,2015-06-01,West,Mountain
2015,Montana,5,May,4.1,2015-05-01,West,Mountain
2015,Montana,4,April,4.1,2015-04-01,West,Mountain
2015,Montana,3,March,4.2,2015-03-01,West,Mountain
2015,Montana,2,February,4.2,2015-02-01,West,Mountain
2015,Montana,1,January,4.3,2015-01-01,West,Mountain
2014,Montana,12,December,4.3,2014-12-01,West,Mountain
2014,Montana,11,November,4.4,2014-11-01,West,Mountain
2014,Montana,10,October,4.5,2014-10-01,West,Mountain
2014,Montana,9,September,4.5,2014-09-01,West,Mountain
2014,Montana,8,August,4.6,2014-08-01,West,Mountain
2014,Montana,7,July,4.6,2014-07-01,West,Mountain
2014,Montana,6,June,4.7,2014-06-01,West,Mountain
2014,Montana,5,May,4.7,2014-05-01,West,Mountain
2014,Montana,4,April,4.8,2014-04-01,West,Mountain
2014,Montana,3,March,4.9,2014-03-01,West,Mountain
2014,Montana,2,February,4.9,2014-02-01,West,Mountain
2014,Montana,1,January,5,2014-01-01,West,Mountain
2013,Montana,12,December,5.1,2013-12-01,West,Mountain
2013,Montana,11,November,5.2,2013-11-01,West,Mountain
2013,Montana,10,October,5.3,2013-10-01,West,Mountain
2013,Montana,9,September,5.3,2013-09-01,West,Mountain
2013,Montana,8,August,5.4,2013-08-01,West,Mountain
2013,Montana,7,July,5.4,2013-07-01,West,Mountain
2013,Montana,6,June,5.5,2013-06-01,West,Mountain
2013,Montana,5,May,5.5,2013-05-01,West,Mountain
2013,Montana,4,April,5.5,2013-04-01,West,Mountain
2013,Montana,3,March,5.5,2013-03-01,West,Mountain
2013,Montana,2,February,5.6,2013-02-01,West,Mountain
2013,Montana,1,January,5.6,2013-01-01,West,Mountain
2012,Montana,12,December,5.6,2012-12-01,West,Mountain
2012,Montana,11,November,5.7,2012-11-01,West,Mountain
2012,Montana,10,October,5.8,2012-10-01,West,Mountain
2012,Montana,9,September,5.9,2012-09-01,West,Mountain
2012,Montana,8,August,5.9,2012-08-01,West,Mountain
2012,Montana,7,July,6,2012-07-01,West,Mountain
2012,Montana,6,June,6.1,2012-06-01,West,Mountain
2012,Montana,5,May,6.1,2012-05-01,West,Mountain
2012,Montana,4,April,6.1,2012-04-01,West,Mountain
2012,Montana,3,March,6.1,2012-03-01,West,Mountain
2012,Montana,2,February,6.2,2012-02-01,West,Mountain
2012,Montana,1,January,6.3,2012-01-01,West,Mountain
2011,Montana,12,December,6.4,2011-12-01,West,Mountain
2011,Montana,11,November,6.5,2011-11-01,West,Mountain
2011,Montana,10,October,6.6,2011-10-01,West,Mountain
2011,Montana,9,September,6.8,2011-09-01,West,Mountain
2011,Montana,8,August,6.9,2011-08-01,West,Mountain
