"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"667 MADISON AVENUE","MANHATTAN","1072007","108","Approved Work","Essential Facility; Electrical","123724871; 123854409; M00308739; M00319413; M00340456; M00344874; M00345522"
"67 VESTRY STREET","Manhattan","1002831","101","Approved Work","Emergency Construction; Essential Facility; Essential Business","M00137087; 123376097; 140823866; M00313669; M00313693; M00313703"
"675 ACADEMY STREET","MANHATTAN","1064950","112","Approved Work","LAA","M00345753"
"675 AVENUE OF THE AMERICAS","Manhattan","1014774","104","Approved Work","Essential Business","123896882; M00221127"
"675 THIRD AVENUE","MANHATTAN","1037549","106","Approved Work","Essential Business","M00295069; M00327862; M00327881"
"675 WEST END AVENUE","Manhattan","1034123","107","Approved Work","Essential Facility; Single Worker Limit","123854784; 140358333; M00303666"
"68 TRINITY PLACE","Manhattan","1090830","101","Approved Work","Emergency Construction","121186885"
"680 PARK AVENUE","MANHATTAN","1041265","108","Approved Work","Electrical","M00344118"
"686 BROADWAY","Manhattan","1008507","102","Approved Work","Essential Facility","123405519; 123512617; 123538412; 123591292"
"689 COLUMBUS AVENUE","MANHATTAN","1079516","107","Approved Work","Emergency Construction","121240460; 121240479"
"69 WEST   38 STREET","Manhattan","1015987","105","Approved Work","Electrical","M00345509"
"695 ST NICHOLAS AVENUE","MANHATTAN","1061002","109","Approved Work","Emergency Construction","140850611"
"7 EAST 27TH STREET","Manhattan","1016886","105","Approved Work","Essential Business","121859701"
"7 EAST 30TH ST","Manhattan","1090601","105","Approved Work","Essential Facility; Affordable Housing; Electrical","123058822; M00345972"
"7 EAST 91 STREET","MANHATTAN","1047011","108","Approved Work","Essential Facility; Electrical","123695233; M00244948; M00245163; M00245166; M00245170; M00341576"
"7 HANOVER SQUARE","MANHATTAN","1000855","101","Approved Work","Essential Facility; Essential Business","123697455; 123697473; 123697482; 123746544; 123746562; 123767548; 140884951; M00211441; M00224598; M00224965; M00225269; M00225313; M00226018; M00226187; M00226188; M00226428; M00226825; M00226880; M00227385; M00228542; M00228560; M00228575; M00229432; M00229504; M00229642; M00244293; M00244321; M00311799; M00311837"
"7 WEST 22ND STREET","Manhattan","1015559","105","Approved Work","Emergency Construction; Single Worker Limit","123724354; 123811571"
"7 WEST 29 STREET","MANHATTAN","1090489","105","Approved Work","Emergency Construction","121204133"
"7 WEST 51 STREET","MANHATTAN","1034514","105","Approved Work","Essential Facility","123251550; 123521377"
"7 WEST 96 STREET","MANHATTAN","1055262","107","Approved Work","Emergency Construction","123817502"
"70 PINE STREET","Manhattan","1001007","101","Approved Work","Electrical","M00346329"
"700 FIFTH AVENUE","Manhattan","1034801","105","Approved Work","Essential Facility; Electrical","M00078920; M00344488"
"701 WEST 177 STREET","MANHATTAN","1064272","112","Approved Work","Electrical","M00343120"
"707 LEXINGTON AVENUE","MANHATTAN","1036906","106","Approved Work","Essential Business","123703901; M00305750; M00310948; M00316529"
"71 5TH AVENUE","Manhattan","1016068","105","Approved Work","Emergency Construction; Essential Facility; Essential Business","123774228; M00222738; M00224956; 123760894; 123774219"
"71 MURRAY STREET","Manhattan","1001421","101","Approved Work","Emergency Construction","122956355"
"710 WEST 168 STREET","MANHATTAN","1063403","112","Approved Work","Essential Facility","123579859"
"710 WEST END AVENUE","MANHATTAN","1033688","107","Approved Work","Single Worker Limit","123880210"
"711 THIRD AVENUE","MANHATTAN","1037568","106","Approved Work","Essential Facility","123885064; M00240395; M00240532; M00241389"
"712 WEST  125 STREET","MANHATTAN","1076686","109","Approved Work","Electrical","M00341060"
"72 SPRING STREET","MANHATTAN","1007214","102","Approved Work","Essential Facility","140885512; M00295996"
"720 LENOX AVENUE","Manhattan","1083993","110","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","123495958"
"721 5 AVENUE","MANHATTAN","1035794","105","Approved Work","Electrical","M00340995"
"723 WEST 177 STREET","MANHATTAN","1064254","112","Approved Work","Electrical","M00341066"
"727 FIFTH AVENUE","Manhattan","1035792","105","Approved Work","Emergency Construction","123755873"
"730 5TH AVENUE","Manhattan","1035053","105","Approved Work","Essential Business","121191325; 123366534; 123508551"
"730 COLUMBUS AVENUE","MANHATTAN","1082743","107","Approved Work","Emergency Construction; Essential Business","M00321967; M00321962"
"730 PARK AVENUE","Manhattan","1041333","108","Approved Work","Essential Facility; Electrical","M00285089; M00345644"
"730 THIRD AVENUE","Manhattan","1036195","106","Approved Work","Essential Facility; Electrical","123705142; 123717905; 123717932; M00152765; M00344038"
"733 3RD AVENUE","Manhattan","1037596","106","Approved Work","Essential Business","123697142; 123799149; 123815201; 123887892; M00230421; M00230460; M00230632; M00245991; M00246002; M00246384"
"75 BROAD STREET","Manhattan","1000849","101","Approved Work","Essential Facility","123743752; M00256745"
"75 CABRINI BOULEVARD","MANHATTAN","1064303","112","Approved Work","Emergency Construction","M00252346"
"75 CENTRAL PARK WEST","Manhattan","1028243","107","Approved Work","Emergency Construction","122874194"
"75 EIGHTH AVENUE","Manhattan","1080226","102","Approved Work","Essential Facility; Electrical","123793127; M00342710; M00344335; M00347166"
"75 KENMARE STREET","Manhattan","1007179","102","Approved Work","Single Worker Limit","122548984"
"75 SULLIVAN STREET","MANHATTAN","1007348","102","Approved Work","Essential Facility","123745830"
"750 8 AVENUE","MANHATTAN","1024736","105","Approved Work","Electrical","M00347344"
"750 PARK AVENUE","Manhattan","1041364","108","Approved Work","Emergency Construction","123579813"
"750 SEVENTH AVE","Manhattan","1024795","105","Approved Work","Essential Facility; Essential Business","123740844; 123865969; M00189390; M00234376; M00234420; M00242285; M00242291; 123740844"
"752 ST. NICHOLAS AVENUE","Manhattan","1061131","109","Approved Work","Essential Business; Electrical","123720027; M00347659"
"757 THIRD AVENUE","MANHATTAN","1037986","106","Approved Work","Essential Facility; Essential Business","M00302525; M00302566; M00302603; 123728868"
"76 BOWERY","Manhattan","1002611","102","Approved Work","Single Worker Limit; Essential Business","123350391; 123350391"
"76 EAST 13 STREET","MANHATTAN","1009211","102","Approved Work","Electrical","M00345803"
"76 MADISON AVENUE","Manhattan","1087536","105","Approved Work","Emergency Construction","123414046"
"765 RIVERSIDE DRIVE","MANHATTAN","1063276","112","Approved Work","Essential Business","123204282; 140824188"
"767 FIFTH AVENUE","Manhattan","1036082","105","Approved Work","Emergency Construction","123784191"
"767 ST. NICHOLAS AVENUE","Manhattan","1061514","109","Approved Work","Single Worker Limit","121185038"
"77 7 AVE","Manhattan","1014515","104","Approved Work","Single Worker Limit","140889545"
"77 CHARLES STREET","Manhattan","1011276","102","Approved Work","Single Worker Limit","121291538"
"77 WEST 66 STREET","MANHATTAN","1082810","107","Approved Work","Electrical","M00344492"
"770   11 AVENUE","MANHATTAN","1088726","104","Approved Work","Electrical","M00344851"
"770 LEXINGTON AVENUE","MANHATTAN","1041920","108","Approved Work","Essential Facility; Electrical","123710323; M00218460; M00344860"
"771 WEST END AVENUE","Manhattan","1057069","107","Approved Work","Single Worker Limit","123785662"
"776 AVENUE OF THE AMERICAS","Manhattan","1015632","105","Approved Work","Essential Business","123814729"
"777 UNITED NATIONS PLAZA","Manhattan","1038669","106","Approved Work","Essential Business","M00194176"
"78 5 AVENUE","MANHATTAN","1009718","102","Approved Work","Essential Facility","123469996"
"78 HAVEN AVENUE","Manhattan","1081868","112","Approved Work","Essential Facility","122456859"
"780 MADISON AVENUE","MANHATTAN","1041168","108","Approved Work","Emergency Construction","123674997"
"79 ELDRIDGE STREET","Manhattan","1084616","103","Approved Work","Essential Facility","122826843"
"79 RIVINGTON STREET","Manhattan","1005497","103","Approved Work","Emergency Construction","123074261; 123265581; 123387851"
"79 WALKER STREET","MANHATTAN","1002324","101","Approved Work","Single Worker Limit","M00340047"
"790 RIVERSIDE DR","Manhattan","1063252","112","Approved Work","Emergency Construction; LAA","123489796; M00343978"
"791 PARK AVENUE","Manhattan","1043066","108","Approved Work","Essential Facility","123736742"
"799 BROADWAY","Manhattan","1009108","102","Approved Work","","121188133"
"8 ALBANY STREET","Manhattan","1088442","101","Approved Work","Essential Facility","123705623"
"8 STONE STREET","Manhattan","1087618","101","Approved Work","Essential Facility","123727100; M00312080"
"80 BROAD STREET","MANHATTAN","1000038","101","Approved Work","Essential Facility","M00271506"
"80 FT. WASHINGTON AVENUE","Manhattan","1063357","112","Approved Work","Essential Facility","140850755; M00281454"
"80 LA SALLE STREET","Manhattan","1084112","109","Approved Work","Essential Facility","123814578; M00217640"
"80 LAFAYETTE STREET","Manhattan","1001870","101","Approved Work","Emergency Construction","123672178"
"80 PINE STREET","MANHATTAN","1000880","101","Approved Work","Essential Business","123773693"
"80 WEST 40TH STREET","Manhattan","1016060","105","Approved Work","Emergency Construction","123683745"
"800 2ND AVENUE","Manhattan","1038658","106","Approved Work","Electrical","M00340445"
"800 RIVERSIDE DRIVE","MANHATTAN","1063275","112","Approved Work","Electrical","M00339980"
"800 THIRD AVENUE","Manhattan","1036446","106","Approved Work","Essential Facility; Electrical","123876911; M00280208; M00327252; M00327260; M00344206"
"800A FIFTH AVENUE","MANHATTAN","1078315","108","Approved Work","Essential Facility","123739491"
"805 THIRD AVENUE","MANHATTAN","1038243","106","Approved Work","Emergency Construction","123819074"
"809 UNITED NATIONS PLAZA","MANHATTAN","1038775","106","Approved Work","Electrical","M00344925"
"809 WASHINGTON STREET","Manhattan","1080257","102","Approved Work","Essential Facility","121193403"
"81 IRVING PLACE","Manhattan","1017914","106","Approved Work","Emergency Construction","122717079"
"81 WEST  119 STREET","MANHATTAN","1053292","110","Approved Work","LAA","M00345233"
"814 AMSTERDAM AVENUE","Manhattan","1056462","107","Approved Work","Essential Facility","123764284; M00317487; M00317494; M00317503"
"815 WEST 180 STREET","MANHATTAN","1064306","112","Approved Work","Emergency Construction; Single Worker Limit; Electrical","M00220593; M00297222; M00342989"
"817 BROADWAY","Manhattan","1009134","102","Approved Work","Emergency Construction","123119446"
"825 WEST 179 STREET","Manhattan","1064321","112","Approved Work","Single Worker Limit","123854089"
"830 THIRD AVENUE","MANHATTAN","1036457","106","Approved Work","Emergency Construction","M00210102"
"838 WEST END AVENUE","Manhattan","1056493","107","Approved Work","Essential Facility; Single Worker Limit","123744092; 123817566; M00235759"
"84 EAST 10TH STREET","Manhattan","1077211","103","Approved Work","Single Worker Limit","123878330; M00320649"
"841 BROADWAY","MANHATTAN","1080132","102","Approved Work","Essential Facility","123703812; M00339109"
"845 1 AVENUE","MANHATTAN","1038909","106","Approved Work","Electrical","M00344928"
"85 5TH AVENUE","Manhattan","1016080","105","Approved Work","Electrical","M00347649"
"85 COLUMBIA STREET","Manhattan","1086089","103","Approved Work","Essential Facility","123329344"
"85 TENTH AVENUE","Manhattan","1012277","104","Approved Work","Emergency Construction","123901778"
"855 LEXINGTON AVE","Manhattan","1042407","108","Approved Work","Emergency Construction","140773875"
"858 8 AVENUE","MANHATTAN","1024824","105","Approved Work","LAA","M00347165"
"858 FIFTH AVENUE","Manhattan","1041243","108","Approved Work","LAA","M00340183"
"859 7TH AVENUE","Manhattan","1083722","105","Approved Work","Essential Facility","122923284"
"86 EAST 10TH STREET","Manhattan","1008965","103","Approved Work","Single Worker Limit","140889242; M00343897"
"86 FT. WASHINGTON AVENUE","Manhattan","1063365","112","Approved Work","Essential Facility","140858533"
"86 WARREN STREET","Manhattan","1090140","101","Approved Work","Electrical","M00345581"
"866 LEXINGTON AVE","Manhattan","1042384","108","Approved Work","Essential Facility","121189481"
"870 7 AVENUE","MANHATTAN","1024878","105","Approved Work","Essential Business","123432507"
"871 7TH AVENUE","Manhattan","1083723","105","Approved Work","Essential Facility","122923275"
"873 BROADWAY","MANHATTAN","1080750","105","Approved Work","Essential Facility","123791968; M00224971; M00225046"
"874 BROADWAY","MANHATTAN","1016147","105","Approved Work","Emergency Construction","123392444"
"875 5TH AVENUE","Manhattan","1041288","108","Approved Work","Electrical","M00347037"
"881 7TH AVENUE","Manhattan","1023449","105","Approved Work","Emergency Construction; Electrical","140893638; M00330459; M00344489"
"884 RIVERSIDE DRIVE","Manhattan","1063326","112","Approved Work","Essential Business","123252504"
"885 10 AVENUE","MANHATTAN","1027080","104","Approved Work","Essential Business","123789061; M00334198; M00334214"
"885 WEST END AVENUE","Manhattan","1057197","107","Approved Work","Single Worker Limit","123127106; 123880327"
"888 7TH AVENUE","Manhattan","1024895","105","Approved Work","Essential Business","140870797; M00310045"
"888 BROADWAY","Manhattan","1016154","105","Approved Work","Essential Facility; Essential Business","123502183; 123783307"
"9 EAST 68 STREET","MANHATTAN","1041252","108","Approved Work","Essential Facility","123848391; M00259490; M00259526"
"9 EAST 97TH STREET","Manhattan","1051460","111","Approved Work","Essential Facility","123671428"
"9 ORCHARD ST","Manhattan","1003795","103","Approved Work","Emergency Construction; Essential Business","123777216; 140819327; 140860209; 121349665; 140800523"
"9 SHERMAN AVENUE","MANHATTAN","1064155","112","Approved Work","Essential Facility; Affordable Housing","123485745"
"9 WEST 20 STREET","MANHATTAN","1015496","105","Approved Work","Emergency Construction","123781096"
"9 WEST 57TH STREET","Manhattan","1035071","105","Approved Work","Essential Business; Electrical","123770482; M00209679; M00209947; M00210008; M00340808"
"90 ARDEN STREET","MANHATTAN","1064243","112","Approved Work","Electrical","M00346177"
"90 CHURCH STREET","Manhattan","1001230","101","Approved Work","Emergency Construction; Essential Facility","123704660; 123744564"
"90 WASHINGTON STREET","MANHATTAN","1000793","101","Approved Work","Emergency Construction","121160028"
"90 WEST BROADWAY","Manhattan","1001499","101","Approved Work","Essential Facility","123688045"
"900 THIRD AVENUE","Manhattan","1081162","106","Approved Work","Essential Facility; Essential Business","M00266858; M00266862; 123847221"
"900 W. 190 ST","Manhattan","1064372","112","Approved Work","Emergency Construction","140827586"
"903 PARK AVENUE","MANHATTAN","1047460","108","Approved Work","Essential Facility","140877380"
"91 3RD AVE.","Manhattan","1006851","103","Approved Work","Electrical","M00343832"
"912 COLUMBUS AVE","Manhattan","1055921","107","Approved Work","Essential Facility","123897685; 140849009; M00309535; M00332504"
"912 ST. NICHOLAS AVENUE","Manhattan","1062483","112","Approved Work","Single Worker Limit","123545388"
"915 BROADWAY","Manhattan","1016226","105","Approved Work","Emergency Construction; Essential Facility","122908210; 123826397"
"919 3RD AVENUE","Manhattan","1038577","106","Approved Work","Emergency Construction","123767959"
"92 SECOND AVENUE","MANHATTAN","1006223","103","Approved Work","Single Worker Limit","M00235777; M00235860"
"920 RIVERSIDE DRIVE","Manhattan","1063343","112","Approved Work","Electrical","M00345211"
"94 AVENUE A","Manhattan","1077603","103","Approved Work","Essential Facility; Affordable Housing","123901652; 123901670"
"94 EAST 111 STREET","Manhattan","1051619","111","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","122240887"
"940 ST NICHOLAS AVENUE","MANHATTAN","1062493","112","Approved Work","Electrical","M00342051"
"941 PARK AVENUE","Manhattan","1047549","108","Approved Work","Essential Facility","123516515"
"945 5TH AVENUE","Manhattan","1041712","108","Approved Work","Single Worker Limit","123722720"
"950 ST NICHOLAS AVENUE","Manhattan","1062496","112","Approved Work","Single Worker Limit","103248567; 123361156"
"950 THIRD AVENUE","Manhattan","1036882","106","Approved Work","Essential Facility","123847481"
"96 5 AVENUE","MANHATTAN","1015292","105","Approved Work","Single Worker Limit","123572231"
"969 FIFTH AVENUE","Manhattan","1041848","108","Approved Work","Emergency Construction","123695493"
"972 FIFTH AVENUE","Manhattan","1041896","108","Approved Work","Electrical","M00342099"
"983 PARK AVENUE","Manhattan","1047642","108","Approved Work","Essential Facility","123045551"
"987 MADISON AVENUE","MANHATTAN","1041804","108","Approved Work","Electrical","M00343938"
"990 6TH AVENUE","Manhattan","1015919","105","Approved Work","Emergency Construction","140767739"
"","QUEENS","4083687","","Approved Work","Electrical","Q00340621"
"1-22 MALBA DRIVE","Queens","4617592","407","Approved Work","Emergency Construction","420915692"
"1-51 BEACH 91 STREET","Queens","4435797","414","Approved Work","Essential Facility","421391309"
"10-17 JACKSON AVENUE","Queens","4539250","402","Approved Work","Essential Business; Electrical","421754202; Q00327270; Q00327279; Q00346075"
"10-29 44TH ROAD","Queens","4005248","402","Approved Work","Essential Facility","420658924"
"10-64 JACKSON AVENUE","QUEENS","4000248","402","Approved Work","Emergency Construction","421423551"
"10-70 JACKSON AVENUE","QUEENS","4000253","402","Approved Work","Electrical","Q00339789"
"100-02 ROCKAWAY BOULEVARD","Queens","4202778","410","Approved Work","Electrical","Q00341784"
"100-25 91 AVENUE","Queens","4194445","409","Approved Work","Electrical","Q00343801"
"101-64 132 STREET","Queens","4201081","409","Approved Work","Essential Facility; Affordable Housing","421415686"
"102-02 LEWIS AVENUE","QUEENS","4615134","404","Approved Work","LAA","Q00346028"
"102-30 QUEENS BOULEVARD","QUEENS","4075223","406","Approved Work","Electrical","Q00343188"
"102-33 DAVENPORT COURT","Queens","4296442","410","Approved Work","Essential Facility","421461858"
"103 BAYSIDE AVENUE","Queens","4529546","414","Approved Work","Single Worker Limit","421715861"
"103-00 SHORE FRONT PKWY","Queens","4445258","414","Approved Work","Essential Facility; Affordable Housing","440330152"
"103-12 ROOSEVELT AVENUE","QUEENS","4048557","404","Approved Work","Essential Facility","421724977"
"103-26 68 AVENUE","QUEENS","4051278","406","Approved Work","Electrical","Q00341695"
"10326 68 ROAD","QUEENS","4051282","406","Approved Work","Electrical","Q00334811"
"104-08 METROPOLITAN AVENUE","QUEENS","4095440","406","Approved Work","Electrical","Q00346817"
"104-18GAR ROOSEVELT AVE","Queens","4473001","404","Approved Work","Essential Facility","421795579"
"104-20 QUEENS BOULEVARD","Queens","4433860","406","Approved Work","Emergency Construction","421782681"
"104-35 102 STREET","QUEENS","4202006","410","Approved Work","Essential Business","Q00299353"
"10421 68 DRIVE","QUEENS","4051284","406","Approved Work","Electrical","Q00334820"
"105 BEACH 216 STREET","Queens","4466799","414","Approved Work","Single Worker Limit","421723807"
"105-18 80 STREET","QUEENS","4189855","410","Approved Work","LAA","Q00344732"
"105-20 ROCKAWAY BEACH BOULEVARD","Queens","4303820","414","Approved Work","Essential Facility","Q00111652"
"105-25 65 ROAD","Queens","4051460","406","Approved Work","Emergency Construction","421621114"
"107 EAST 7 ROAD","Queens","4297373","414","Approved Work","Single Worker Limit","420666336"
"107-06 QUEENS BLVD","Queens","4077483","406","Approved Work","Essential Facility","421535057; Q00085511"
"107-12 127 STREET","Queens","4205887","410","Approved Work","Emergency Construction","421925652"
"107-16 REMINGTON STREET","Queens","4215226","412","Approved Work","Essential Facility; Affordable Housing","421415668"
"107-32 156 STREET","Queens","4215939","412","Approved Work","Single Worker Limit","421666600"
"107-43 114 STREET","Queens","4203531","410","Approved Work","Emergency Construction","421564195"
"108-01 QUEENS BOULEVARD","QUEENS","4052347","406","Approved Work","Essential Facility; Essential Business","421779962; Q00304691; Q00304705; Q00325426; Q00247102; Q00247128"
"108-10 ROCKAWAY BEACH DRIVE","Queens","4615227","414","Approved Work","Essential Facility","420658906"
"108-22 QUEENS BOULEVARD","QUEENS","4077994","406","Approved Work","Electrical","Q00343921"
"108-29 67 DRIVE","Queens","4051900","406","Approved Work","Single Worker Limit","421884321"
"108-40 ROOSEVELT AVENUE","Queens","4307718","404","Approved Work","Emergency Construction","440582184"
"108-53 ROOSEVELT AVENUE","Queens","4044832","403","Approved Work","Essential Facility; Affordable Housing","421950124"
"1089 WYCKOFF AVENUE","Queens","4549243","405","Approved Work","Essential Business","421734528"
"109 ROCKAWAY POINT BLVD","Queens","4465855","414","Approved Work","Single Worker Limit","421653758"
"109-15 MERRICK BOULEVARD","Queens","4218721","412","Approved Work","Essential Business","440583361"
"109-25 MERRICK BOULEVARD","Queens","4452207","412","Approved Work","Essential Facility","440583370"
"11-02 33 ROAD","QUEENS","4003756","401","Approved Work","Electrical","Q00343362"
"11-16 MAIN AVE","Queens","4005624","401","Approved Work","Essential Facility; Affordable Housing","420663366"
"11-28 31 DRIVE","Queens","4005438","401","Approved Work","Single Worker Limit","420605964"
"11-38 FOAM PLACE","Queens","4462341","414","Approved Work","Essential Facility","420651057"
"110-11 QUEENS BOULEVARD","QUEENS","4052585","406","Approved Work","Emergency Construction","421665736"
"110-24 MERRICK BOULEVARD","Queens","4217036","412","Approved Work","Single Worker Limit","421895417"
"110-31 MERRICK BOULEVARD","Queens","4845904","412","Approved Work","Emergency Construction","400511380"
"111-15 QUEENS BOULEVARD","Queens","4307915","406","Approved Work","Essential Facility","421589800"
"111-20 115TH STREET","Queens","4591929","410","Approved Work","Essential Facility; Affordable Housing","421903989"
"112-08 PARK LANE SOUTH","Queens","4192291","409","Approved Work","Electrical","Q00346617"
"112-16 ASTORIA BOULEVARD","Queens","4618105","403","Approved Work","Essential Business","420605777"
"113-13 76 ROAD","Queens","4052779","406","Approved Work","Essential Facility","421550869"
"114-16 145 STREET","QUEENS","4259243","412","Approved Work","LAA","Q00346654"
"114-39 131 STREET","QUEENS","4251783","410","Approved Work","LAA","Q00346925"
"114-65  157 STREET","QUEENS","4448367","412","Approved Work","Electrical","Q00347262"
"115-06 227 STREET","QUEENS","4243485","413","Approved Work","Single Worker Limit","Q00298128"
"115-81 LEFFERTS BOULEVARD","QUEENS","4253524","410","Approved Work","Electrical","Q00346080"
"117-08 HILLSIDE AVENUE","QUEENS","4193455","409","Approved Work","Essential Facility","421626841"
"118-12 QUEENS BOULEVARD","QUEENS","4079994","406","Approved Work","Emergency Construction","421944196"
"118-17 UNION TURNPIKE","Queens","4079634","406","Approved Work","Essential Facility","421781744"
"118-18 UNION TURNPIKE","QUEENS","4079667","409","Approved Work","Essential Facility; Electrical","Q00314481; Q00347376"
"119-43  166 STREET","QUEENS","4267774","412","Approved Work","Electrical","Q00341496"
"11927 195 STREET","QUEENS","4272685","412","Approved Work","LAA","Q00340319"
"12 GRAHAM PLACE","Queens","4623192","414","Approved Work","Single Worker Limit","421858216"
"120 BEACH 19 STREET","QUEENS","4436179","414","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","440383390; 440417327"
"120-28 218 STREET","QUEENS","4275960","413","Approved Work","Single Worker Limit; Electrical","421939503; Q00347527"
"121 BEACH 129TH STREET","Queens","4305251","414","Approved Work","Emergency Construction","420652902"
"121-16 OCEAN PROMENADE","Queens","4304945","414","Approved Work","Emergency Construction","421684626"
"124-30 QUEENS BOULEVARD","QUEENS","4080161","409","Approved Work","Electrical","Q00345369"
"125 BEACH 17 STREET","QUEENS","4436178","414","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","440383363; 440417336; 421713532"
"126-18 CRONSTON AVENUE","QUEENS","4303981","414","Approved Work","Single Worker Limit","Q00327721"
"127-10 LOCUST  MANOR LANE","Queens","4607552","412","Approved Work","Essential Facility; Affordable Housing; Electrical","421364106; Q00340372"
"129-07 154 STREET","QUEENS","4532109","412","Approved Work","LAA","Q00343154"
"130 OCEANSIDE AVENUE","Queens","4466451","414","Approved Work","Single Worker Limit","421725690"
"130-02 SOUTH CONDUIT AVENUE","QUEENS","4464063","410","Approved Work","Essential Facility","420664864"
"130-09 SPRINGFIELD BOULEVARD","Queens","4277298","413","Approved Work","Essential Facility; Electrical","421890617; Q00345657"
"130-30 28 AVENUE","QUEENS","4537931","407","Approved Work","Essential Facility","Q00301554"
"131-02 40 ROAD","Queens","4614966","407","Approved Work","Electrical","Q00345360"
"131-72 40 ROAD","Queens","4618847","407","Approved Work","Essential Facility","421519271; 421681040; 421681059; 421681166; Q00099730; Q00100138"
"132-08 95 AVENUE","Queens","4200236","409","Approved Work","Emergency Construction","421740129"
"132-11 BENNETT COURT","QUEENS","4279661","412","Approved Work","Electrical","Q00345162"
"132-25 MAPLE AVENUE","Queens","4443469","407","Approved Work","Essential Facility","Q00261821"
"132-48 41 ROAD","QUEENS","4114214","407","Approved Work","Essential Facility","Q00261078"
"133-05 20 AVENUE","Queens","4607514","407","Approved Work","Single Worker Limit","421032821"
"133-11 20 AVENUE","Queens","4536688","407","Approved Work","LAA","Q00318155"
"133-20 41 ROAD","QUEENS","4114270","407","Approved Work","Essential Business","421601715"
"133-33 BROOKVILLE BLVD.","Queens","4279577","413","Approved Work","Essential Facility","421732879"
"133-35 79 STREET","QUEENS","4541244","410","Approved Work","Emergency Construction","421782921"
"133-45 122 ST.","Queens","4254544","410","Approved Work","Single Worker Limit","421267578"
"134-02 33 AVENUE","QUEENS","4438084","407","Approved Work","Energy Industry","421958448"
"134-40 SPRINGFIELD BOULEVARD","QUEENS","4279935","412","Approved Work","Essential Facility; Essential Business","421908877; Q00272741; Q00272769"
"135-20 39TH AVENUE","Queens","4112316","407","Approved Work","Essential Business","421950598; Q00337293"
"135-25 142 STREET","Queens","4607474","412","Approved Work","Essential Facility; Essential Business","Q00237627; 420655632"
"136-16 72 AVE","Queens","4142286","408","Approved Work","Essential Facility","421654588"
"136-21 HILLSIDE AVENUE","Queens","4618904","409","Approved Work","Essential Facility","420663231"
"137-19 CROSSBAY BLVD","Queens","4248624","410","Approved Work","Essential Business","421713275"
"137-34 NORTHERN BOULEVARD","QUEENS","4112347","407","Approved Work","Essential Facility","421917171; Q00228664"
"138-07 BOOTH MEMORIAL AVENUE","QUEENS","4115638","407","Approved Work","Electrical","Q00345597"
"138-11 BOOTH MEML AVENUE","QUEENS","4115637","407","Approved Work","Electrical","Q00345605"
"138-28 QUEENS BLVD","Queens","4611483","408","Approved Work","Essential Facility; Affordable Housing","421348624"
"139-48 QUEENS BOULEVARD","QUEENS","4206391","408","Approved Work","Essential Business","421698657"
"14-15 MOTT AVENUE","Queens","4298509","414","Approved Work","Essential Facility; Affordable Housing","440576422"
"14-23 31ST DRIVE","Queens","4005846","401","Approved Work","Single Worker Limit","420666354"
"14-24 140 STREET","QUEENS","4098661","407","Approved Work","Single Worker Limit","Q00056652"
"14-36 BURTON STREET","Queens","4623080","407","Approved Work","Single Worker Limit","421619369; Q00262735"
"14-43 31 AVENUE","QUEENS","4619752","401","Approved Work","Essential Facility; Affordable Housing","421696579"
"14-50 GATEWAY BOULEVARD","QUEENS","4298281","414","Approved Work","LAA","Q00346466"
"14-69 165TH STREET","Queens","4104336","407","Approved Work","Single Worker Limit","421626645"
"140-09 173 STREET","QUEENS","4271119","412","Approved Work","Electrical","Q00342159"
"140-17  173 STREET","QUEENS","4271122","412","Approved Work","Electrical","Q00339939"
"140-19  173 STREET","QUEENS","4271123","412","Approved Work","Electrical","Q00340185"
"140-50 BURDEN CRESCENT","QUEENS","4207743","408","Approved Work","Essential Business","Q00288728"
"141-17 181 STREET","QUEENS","4280710","412","Approved Work","LAA","Q00341826"
"142-10 ROOSEVELT AVENUE","Queens","4113628","407","Approved Work","Emergency Construction","421890751"
"142-30 135 AVENUE","Queens","4607473","412","Approved Work","Essential Facility; Essential Business","Q00247810; 420655641"
"143-02 JAMAICA AVE","Queens","4442233","412","Approved Work","Essential Facility; LAA","421722210; Q00345723"
"144-15 BOULEVARD","Queens","4101252","407","Approved Work","Single Worker Limit","421650314"
"144-20 VILLAGE ROAD","QUEENS","4530502","408","Approved Work","Single Worker Limit","421797023; Q00269031"
"144-51 75 AVENUE","QUEENS","4144154","408","Approved Work","LAA","Q00347686"
"144-74 NORTHERN BOULEVARD","Queens","4622953","4","Approved Work","Essential Facility; Affordable Housing; Essential Business","420663222; 421679874; Q00212661; Q00213030"
"145-07 167 STREET","Queens","4617233","413","Approved Work","Essential Facility; Affordable Housing","421415677"
"145-19  223 STREET","QUEENS","4311815","413","Approved Work","Electrical","Q00344916"
"145-24 17TH AVENUE","Queens","4104697","407","Approved Work","Emergency Construction","421263714"
"145-62 158 STREET","QUEENS","4296720","413","Approved Work","Emergency Construction; LAA","Q00343644; Q00343644"
"146-17 NORTHERN BLVD","Queens","4622992","407","Approved Work","Essential Facility","421606202"
